"","region","Fall","Winter","Spring","Summer"
"1","SRM","-28 ± 23","11 ± 24","-34 ± 27","22 ± 17"
"2","CRM","-2.3 ± 7.6","-1.2 ± 7","-1.9 ± 12","-7.5 ± 7.1"
"3","NRM","40 ± 19*","14 ± 20","24 ± 17","-7.6 ± 9.6"
"4","SCM","-24 ± 29","12 ± 28","40 ± 35","46 ± 62"
"5","CCM","7.1 ± 9.2","13 ± 8.2","17 ± 11","-8 ± 19"
"6","NCM","98 ± 51","140 ± 52**","62 ± 83","-190 ± 110"
"7","SIR","-35 ± 23","-1.3 ± 23","-0.66 ± 30","30 ± 22"
"8","NIR","36 ± 19","46 ± 20*","23 ± 28","-19 ± 21"
"9","SEM","6.8 ± 12","24 ± 14","1.9 ± 21","-47 ± 27"
"10","VIL","-0.082 ± 0.12","0.027 ± 0.097","0.14 ± 0.15","0.18 ± 0.29"
