"","region","type_short","area_1985_km2_group","1984","2010","2020","lm2010","lm2020","lmdif","LM_1984_2010","LM_2011_2020","Abs.Chg","Perc.Chg","LMP_1984_2010","LMP_2011_2020","Abs.ChgP","Perc.ChgP"
"1","CCM","CIG","<1 sq. km",1623,1617,1408,-0.23,-21,-20.8,"-1.8 ± 0.87 *","-30 ± 3.2 **","-28.2 ± 4.07",1667,"-0.27 ± 0.13 *","-4.5 ± 0.48 **","-4.23 ± 0.61",1667
"2","CCM","CIG",">= 1 sq. km",591,591,591,0,0,0,"-3 ± 0.85 **","-31 ± 3.3 **","-28 ± 4.15",1033,"-0.25 ± 0.071 **","-2.6 ± 0.28 **","-2.35 ± 0.351",1040
"3","CCM","DCG",">= 1 sq. km",4,4,4,0,0,0,"-0.014 ± 0.017 ","-0.28 ± 0.05 **","-0.266 ± 0.067",2000,"-0.2 ± 0.24 ","-4 ± 0.72 **","-3.8 ± 0.96",2000
"4","CCM","PLG","<1 sq. km",29,29,26,0,-0.3,-0.3,"-0.11 ± 0.037 **","-1.1 ± 0.14 **","-0.99 ± 0.177",1000,"-0.6 ± 0.2 **","-6 ± 0.77 **","-5.4 ± 0.97",1000
"5","CCM","PLG",">= 1 sq. km",49,49,49,0,0,0,"-0.57 ± 0.12 **","-4.3 ± 0.42 **","-3.73 ± 0.54",754.4,"-0.38 ± 0.078 **","-2.8 ± 0.27 **","-2.42 ± 0.348",736.8
"6","CRM","CIG","<1 sq. km",289,291,272,0.077,-1.9,-1.98,"-0.46 ± 0.13 **","-2.7 ± 0.89 *","-2.24 ± 1.02",587,"-0.44 ± 0.12 **","-2.6 ± 0.84 *","-2.16 ± 0.96",590.9
"7","CRM","CIG",">= 1 sq. km",89,89,89,0,0,0,"-0.79 ± 0.12 **","-3.2 ± 0.76 **","-2.41 ± 0.88",405.1,"-0.34 ± 0.05 **","-1.4 ± 0.33 **","-1.06 ± 0.38",411.8
"8","CRM","PLG","<1 sq. km",2,2,2,0,0,0,"-0.0081 ± 0.0029 **","-0.062 ± 0.013 **","-0.0539 ± 0.0159",765.4,"-0.66 ± 0.24 **","-5 ± 1 **","-4.34 ± 1.24",757.6
"9","CRM","PLG",">= 1 sq. km",22,22,21,0,-0.1,-0.1,"-0.53 ± 0.05 **","-1.7 ± 0.33 **","-1.17 ± 0.38",320.8,"-0.32 ± 0.03 **","-1 ± 0.2 **","-0.68 ± 0.23",312.5
"10","NCM","CIG","<1 sq. km",1897,1883,1604,-0.54,-28,-27.5,"-2.8 ± 0.7 **","-27 ± 3.6 **","-24.2 ± 4.3",964.3,"-0.38 ± 0.096 **","-3.7 ± 0.49 **","-3.32 ± 0.586",973.7
"11","NCM","CIG",">= 1 sq. km",947,947,943,0,-0.4,-0.4,"-10 ± 1.1 **","-53 ± 6.2 **","-43 ± 7.3",530,"-0.29 ± 0.034 **","-1.5 ± 0.18 **","-1.21 ± 0.214",517.2
"12","NCM","DCG",">= 1 sq. km",28,28,28,0,0,0,"-1 ± 0.31 **","-4.6 ± 0.21 **","-3.6 ± 0.52",460,"-0.31 ± 0.093 **","-1.4 ± 0.063 **","-1.09 ± 0.156",451.6
"13","NCM","PLG","<1 sq. km",39,39,33,0,-0.6,-0.6,"-0.13 ± 0.025 **","-0.86 ± 0.087 **","-0.73 ± 0.112",661.5,"-0.62 ± 0.12 **","-4.2 ± 0.42 **","-3.58 ± 0.54",677.4
"14","NCM","PLG",">= 1 sq. km",218,218,218,0,0,0,"-12 ± 0.92 **","-52 ± 11 **","-40 ± 11.92",433.3,"-0.2 ± 0.015 **","-0.86 ± 0.18 **","-0.66 ± 0.195",430
"15","NIR","CIG","<1 sq. km",535,532,431,-0.12,-10,-9.88,"-1.3 ± 0.42 **","-8.9 ± 2.4 **","-7.6 ± 2.82",684.6,"-0.57 ± 0.19 **","-3.9 ± 1 **","-3.33 ± 1.19",684.2
"16","NIR","CIG",">= 1 sq. km",166,166,165,0,-0.1,-0.1,"-1.4 ± 0.3 **","-8.8 ± 2 **","-7.4 ± 2.3",628.6,"-0.37 ± 0.079 **","-2.3 ± 0.52 **","-1.93 ± 0.599",621.6
"17","NIR","PLG","<1 sq. km",13,12,6,-0.038,-0.6,-0.562,"-0.077 ± 0.016 **","-0.39 ± 0.077 **","-0.313 ± 0.093",506.5,"-1.1 ± 0.24 **","-5.7 ± 1.1 **","-4.6 ± 1.34",518.2
"18","NIR","PLG",">= 1 sq. km",15,15,15,0,0,0,"-0.22 ± 0.017 **","-1.4 ± 0.26 **","-1.18 ± 0.277",636.4,"-0.29 ± 0.023 **","-1.8 ± 0.34 **","-1.51 ± 0.363",620.7
"19","NRM","CIG","<1 sq. km",318,317,270,-0.038,-4.7,-4.66,"-0.97 ± 0.097 **","-5.7 ± 0.76 **","-4.73 ± 0.857",587.6,"-0.72 ± 0.072 **","-4.2 ± 0.56 **","-3.48 ± 0.632",583.3
"20","NRM","CIG",">= 1 sq. km",122,122,122,0,0,0,"-1.3 ± 0.099 **","-6.5 ± 0.84 **","-5.2 ± 0.939",500,"-0.42 ± 0.031 **","-2.1 ± 0.26 **","-1.68 ± 0.291",500
"21","NRM","DCG",">= 1 sq. km",2,2,2,0,0,0,"-0.036 ± 0.0034 **","-0.084 ± 0.0093 **","-0.048 ± 0.0127",233.3,"-1.1 ± 0.099 **","-2.5 ± 0.27 **","-1.4 ± 0.369",227.3
"22","NRM","PLG","<1 sq. km",7,7,5,0,-0.2,-0.2,"-0.066 ± 0.0067 **","-0.27 ± 0.041 **","-0.204 ± 0.0477",409.1,"-1.5 ± 0.16 **","-6.1 ± 0.96 **","-4.6 ± 1.12",406.7
"23","NRM","PLG",">= 1 sq. km",14,14,14,0,0,0,"-0.28 ± 0.028 **","-1.2 ± 0.1 **","-0.92 ± 0.128",428.6,"-0.91 ± 0.092 **","-4 ± 0.33 **","-3.09 ± 0.422",439.6
